name,latitude,longitude
Champigny Centre,48.81619956221471,2.5020412919695727
Nogent - Le Perreux,48.839022521611184,2.494724556589584
Val de Fontenay,48.85591851640277,2.4896573144271974
Rosny Bois-Perrier,48.88273836823084,2.481741891048117
Bondy,48.894259072573256,2.480198691610315
Pont de Bondy,48.9042649324394,2.469731190920536
Bobigny - Pablo Picasso,48.90630869769307,2.4500703021073647
Drancy - Bobigny,48.915808577506624,2.427072881043244
Fort d'Aubervilliers,48.91416334483776,2.405437151272412
Mairie d'Aubervilliers,48.91417199708229,2.3817985131886195
Stade de France,48.91801468879452,2.363380364183728
Saint-Denis - Pleyel,48.917682776076624,2.3465603891987223
Les Grésillons,48.91997329677837,2.3130453822409653
Les Agnettes,48.92246653268744,2.287632262682482
Bois-Colombes,48.91498738657541,2.272013509582558
Bécon-les-Bruyères,48.90532896316043,2.267019144400969
La Défense,48.89085479217542,2.237688709843252
Nanterre La Folie,48.89823872058405,2.226481019311377
Nanterre La Boule,48.887772270360266,2.2014167751757348
Rueil - Suresnes Mont-Valérien,48.87248095343975,2.2021300102601757
Saint-Cloud,48.84409144182665,2.21713926922927
Pont de Sèvres,48.82729138336171,2.230479877949556
Issy,48.821095903190994,2.2599401327997275
Clamart,48.81406795965332,2.2735356251230683
Châtillon - Montrouge,48.81121836953434,2.3023604046414183
Bagneux - Lucie Aubrac,48.80277163561733,2.318705804553095
Arcueil - Cachan,48.79745776001764,2.3283422814145047
Villejuif - Gustave Roussy,48.79304421816055,2.349365934059006
Villejuif - Louis Aragon,48.788467746918286,2.367220693260608
Mairie de Vitry-sur-Seine,48.78999041749435,2.387038531128399
Les Ardoines,48.7823019563861,2.408832223768385
Le Vert de Maisons,48.78926868038576,2.433004643741948
Créteil - L'Échat,48.79543637949887,2.449882778338881
Saint-Maur - Créteil,48.80670229752781,2.47264879160843
Villiers - Champigny - Bry,48.82398677049013,2.526382835628157
Noisy - Champs,48.84345531532211,2.580787331604637
La Courneuve - Six Routes,48.92925178723828,2.384490757960263
Le Bourget,48.93058045799643,2.422115109237472
Parc du Blanc-Mesnil,48.94553031006211,2.462741944257064
Aulnay - Val Francilia,48.95183774117677,2.4878566474745627
Sevran - Beaudottes,48.9472152890844,2.5255293623724344
Sevran - Livry,48.93584613670702,2.535317667168086
Clichy - Montfermeil,48.90465321560477,2.5565919170065023
Chelles - Gournay,48.87451112515905,2.5857726763581432
Le Bourget - Aéroport,48.94670230158006,2.4364103946201405
Gonesse,48.97869567210434,2.476356731356169
Parc des Expositions,48.97478875398517,2.515936611094954
Aéroport Charles de Gaulle 2 TGV,49.004764152913445,2.5701582552278035
Aéroport Charles de Gaulle 2e gare,49.010080092602536,2.5711583637890096
Le Mesnil-Amelot,49.02589155155561,2.5955194678958247
Aéroport d'Orly,48.72800470901665,2.362272557455038
Antonypole - Wissous Centre,48.73583751277596,2.309800492984758
Massy Opéra,48.73148661711948,2.290814418822005
Massy - Palaiseau,48.7251442790873,2.258466492245461
Marguerite Perey,48.7153641957532,2.200958583207987
Moulon Campus,48.71215046784196,2.173294535262749
Christ de Saclay,48.72993425340088,2.161383743060809
Guyancourt,48.76012989004533,2.071833107885106
Satory,48.78710799747423,2.1042215843239176
Versailles - Chantiers,48.79469286734225,2.136758835141177
Houilles-Carrières-sur-Seine,48.920159772062476,2.1857472123248685
Poissy,48.933249485872636,2.040788201214934
Villennes-sur-Seine,48.93963251708517,1.9994817416915542
Vernouillet-Verneuil,48.9814232162559,1.9829096975135148
Les Clairières de Verneuil,48.99267412553389,1.9552285398420823
Les Mureaux,48.99291548588505,1.9133086128578756
Aubergenville-Élisabethville,48.972064625483654,1.8484607840210052
Épône-Mézières,48.96343454308424,1.8087576282004452
Mantes Station,48.98386051068523,1.7166955583591832
Mantes-la-Jolie,48.99008239734458,1.7034540012173511
Champarons,48.92832493493924,2.2702109819410348
Caillebotte,48.931724575110756,2.2667205151555465
Gare du Stade,48.93425350524012,2.2633644734956166
Valmy,48.93230613126726,2.2553207268116107
Pierre de Courbetin,48.92826946884448,2.2540343593612824
Stade Yves du Manoir,48.927287593513284,2.2465805626677366
Ile Marante,48.92576611101053,2.2416571943784445
Hôpital Louis Mourier,48.923557176858495,2.236372057352173
Rue de Seine,48.92046109802436,2.228529256565145
Parc Pierre Lagravère,48.91793261447923,2.2246399514160733
Petit-Colombes,48.913697824249624,2.2271310170037157
Le Contin,48.70892275923378,2.3713099443733294
Stade Delaune,48.704094250014016,2.371697333326911
Pyramide,48.69835787769458,2.371837737185599
Observatoire,48.69176515662238,2.370641696877046
Maréchal Leclerc,48.69116549350767,2.3768735869481445
Juvisy,48.6908684272177,2.382518071761356
Saint-Jean,48.894187142669814,2.4579777522883464
Place Jeanne D'Arc,48.89046110404717,2.4533968551364067
Rue Hélène,48.88840973880477,2.4507464717749006
Carrefour de la Vierge,48.88630902830487,2.445788565265991
Place Carnot,48.88341256558668,2.4407893448977775
Collège G. Courbet,48.87874396284494,2.4413340650394617
Libre Pensée,48.874292368992265,2.44413390911195
Route de Romainville,48.87248126513399,2.448072373662804
Aristide Briand,48.86934449836823,2.454475916288499
Rue de Rosny,48.86650324112166,2.4584830687031896
Théophile Sueur,48.86341148614843,2.463677681010812
Côte du Nord,48.86240255633153,2.472533257855708
Victor Hugo,48.86168652927574,2.48250196593536
Faidherbe,48.86002660900143,2.4896754779773445
Val de Fontenay,48.85392035833403,2.4932145792907248
Lisière Pereire,48.903044817870594,2.0741757965678786
Poissy Gambetta,48.92682851195448,2.050816894934332
Poissy,48.93310499801121,2.0406487264236834
Poissy ZAC,48.940869348602945,2.055650122480607
Achères Ville,48.97040308790323,2.077565099443476